Name,Price,Relative Price,Units,Supermarket,Link,Image
Tesco Smoked Back Bacon Rashers 300G,1.89,6.3,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/267995121,https://digitalcontent.api.tesco.com/v2/media/ghs/1f07f744-fab9-49e3-b00e-75cd7e368da1/86e06268-a29f-40cb-be82-ba5fc26b54c9.jpeg?h=225&w=225
"Tesco British Whole Milk 1.13L, 2 Pints",1.2,1.06,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/252207566,https://digitalcontent.api.tesco.com/v2/media/ghs/3568e1dd-b082-49da-801d-7798997105ef/e5e38c67-a06d-4094-9c61-8502927acaf7.jpeg?h=225&w=225
Tesco Finest 10 Pigs In Blankets 210G,3.0,14.29,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/279992532,https://digitalcontent.api.tesco.com/v2/media/ghs/63936d25-d28c-49de-93dc-2852e0e8d5f6/6b9fb76e-9e71-4b49-97fa-ac64224dd2a1.jpeg?h=225&w=225
Tesco Red Onions 3Pack Minimum,1.0,0.33,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/281425851,https://digitalcontent.api.tesco.com/v2/media/ghs/e0f14ab2-0c6b-40b5-af30-18476905d583/ebe21416-646d-4581-bac7-f246dfd641dc.jpeg?h=225&w=225
Tesco Blueberries 150G,1.9,12.67,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/287356888,https://digitalcontent.api.tesco.com/v2/media/ghs/02498fcd-0129-4144-aa42-e2cbde876836/b1ab0cae-8a2b-4c7f-87d8-21114621899e.jpeg?h=225&w=225
Tesco Whole Large Cucumber,0.99,1.8,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/280379906,https://digitalcontent.api.tesco.com/v2/media/ghs/aebc2f6d-c4b5-48a4-b7d1-89c912d40044/671d5868-34c2-4e70-b8f4-a3e41fd3d14f_345949929.jpeg?h=225&w=225
Tesco Sweet Vine Ripened Tomatoes 255G,1.15,4.51,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/305834203,https://digitalcontent.api.tesco.com/v2/media/ghs/8136068a-15d3-4b4d-adbd-0f955bc27bf8/1d7b8708-6ad1-44b3-8273-b05f345b7238.jpeg?h=225&w=225
Growers Harvest Pure Apple Juice 1 Litre,1.09,1.1,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/300473931,https://digitalcontent.api.tesco.com/v2/media/ghs/94f21a72-ebd5-4401-b6b6-a0b07f402c93/60722568-e81d-4bba-9e67-a9ae163839c9.jpeg?h=225&w=225
Tesco Baby Spinach 250G,1.15,4.6,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/301219119,https://digitalcontent.api.tesco.com/v2/media/ghs/fa4943fa-94eb-47b7-b303-d1aed674341b/b8f12a66-af9d-4f27-ac72-8ee9ad3baca1.jpeg?h=225&w=225
Tesco British Chicken Breast Fillets 950G,6.5,6.84,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/292284222,https://digitalcontent.api.tesco.com/v2/media/ghs/27127d1a-6417-410a-8dfa-6e387a15dd17/0b3e4746-f36b-4b08-ada2-ad3f1b5a1244.jpeg?h=225&w=225
Tesco Tenderstem Broccoli 200G,1.6,8.0,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/305255289,https://digitalcontent.api.tesco.com/v2/media/ghs/3eab8799-723b-4bb8-bd26-e4f21b17e077/22c6ac9c-6afb-47d3-9cc1-590ec3fd2b43.jpeg?h=225&w=225
Tesco Honeydew Melon,1.89,1.89,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/254384645,https://digitalcontent.api.tesco.com/v2/media/ghs/e94c3317-f4e2-498b-a414-f1b26fa887b1/c6d360b8-da3f-46ce-85ca-8d05aa12afa6.jpeg?h=225&w=225
Tesco Little Gem Lettuce Twin Pack,0.79,0.4,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/253560041,https://digitalcontent.api.tesco.com/v2/media/ghs/4d46c61b-a986-4a13-8fca-99ba5080c21a/c1492fb5-af26-46d6-9016-d8cc368d0b5a.jpeg?h=225&w=225
Tesco Swede,0.62,0.62,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/304785423,https://digitalcontent.api.tesco.com/v2/media/ghs/b6f7b9c1-e110-4e83-a795-71e6a859812a/60873d9a-24d1-4e9d-84d0-29dd43ae2ed9.jpeg?h=225&w=225
Nightingale Farms Cherry Tomatoes 250G,0.69,2.76,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/292213267,https://digitalcontent.api.tesco.com/v2/media/ghs/ad66ee3c-acbb-41c3-954a-4a04fc110cb6/4302568d-4100-4ca5-a4b7-2559cc634afa_1851066632.jpeg?h=225&w=225
Tesco Fine Beans 200G,1.3,6.5,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/279336901,https://digitalcontent.api.tesco.com/v2/media/ghs/c118ccc7-9b24-41da-9733-89948e80209e/d0681d63-b4fa-4c37-ad0c-f58ab9b7a55a.jpeg?h=225&w=225
Rosedene Farms Raspberries 125G,1.49,11.92,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/292248312,https://digitalcontent.api.tesco.com/v2/media/ghs/059c3fe7-41a6-4c18-99e7-a7eb8ca2fb60/d18b77fa-89d9-49ee-8d76-530c69723a19.jpeg?h=225&w=225
Tesco Oranges Each,0.3,0.3,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/253554014,https://digitalcontent.api.tesco.com/v2/media/ghs/2c33ec1a-56c7-4492-a690-f4886be92e94/f01d49e7-f80d-4375-af08-a521fc31974a_1423470130.jpeg?h=225&w=225
